district_key,province,mortality_estimate_per1000,mortality_lower95,mortality_upper95,model_pred,model_ci_lower,model_ci_upper
BANNU DISTRICT,Khyber Pakhtunkhwa,90.42388615305973,58.77552599948882,122.07224630663065,89.93647584957377,86.71652760122272,93.19714787218032
LAKKI MARWAT DISTRICT,Khyber Pakhtunkhwa,89.60955057517579,58.246207873864265,120.97289327648733,92.1741105841318,89.82532015761227,94.49923360801536
DERA ISMAIL KHAN DISTRICT,Khyber Pakhtunkhwa,97.57491512938006,63.42369483409704,131.72613542466308,89.89217480931437,87.46653066516241,92.13690239263897
TANK DISTRICT,Khyber Pakhtunkhwa,98.42108827003612,63.97370737552348,132.86846916454877,95.42794199519038,93.37395700885511,97.53184604347209
ABBOTTABAD DISTRICT,Khyber Pakhtunkhwa,56.68947246963872,36.848157105265166,76.53078783401227,66.81776882661208,63.627576376422134,70.33439928100748
HARIPUR DISTRICT,Khyber Pakhtunkhwa,73.9042147559383,48.037739591359895,99.7706899205167,69.91864306225692,66.71047477140388,73.52678098169963
MANSEHRA DISTRICT,Khyber Pakhtunkhwa,83.75925289780878,54.4435143835757,113.07499141204184,79.84870007774067,77.41170941681942,82.32933549711254
TORGHAR DISTRICT,Khyber Pakhtunkhwa,106.3251752878758,69.11136393711928,143.53898663863234,102.72752294992014,97.08184400219722,107.57813825918552
HANGU DISTRICT,Khyber Pakhtunkhwa,105.56977914762196,68.62035644595429,142.51920184928966,94.15561717157033,90.21196724757266,97.81605372661323
KARAK DISTRICT,Khyber Pakhtunkhwa,76.2087053125531,49.53565845315952,102.88175217194669,86.46444484219722,82.02017867392459,91.58443754357548
KOHAT DISTRICT,Khyber Pakhtunkhwa,88.46608064060041,57.50295241639027,119.42920886481056,80.13147236030753,78.04819431582439,82.27353355354558
MARDAN DISTRICT,Khyber Pakhtunkhwa,85.51357154800992,55.58382150620645,115.4433215898134,78.34813219604587,75.43206560724923,81.34485416927002
SWABI DISTRICT,Khyber Pakhtunkhwa,81.61370606460652,53.04890894199424,110.1785031872188,79.21906457823322,76.84585299064175,81.58208562883638
CHARSADDA DISTRICT,Khyber Pakhtunkhwa,82.1761880005789,53.41452220037629,110.93785380078153,82.42147977576894,79.69302348898445,85.21888661141648
NOWSHERA DISTRICT,Khyber Pakhtunkhwa,70.7116532737925,45.96257462796513,95.46073191961987,78.80793208999302,76.5227603009629,80.97653864781017
PESHAWAR DISTRICT,Khyber Pakhtunkhwa,73.69843433583154,47.9039823182905,99.49288635337255,74.69497208232126,71.55236826600932,77.81696814785155
BUNER DISTRICT,Khyber Pakhtunkhwa,100.00168723402108,65.0010967021137,135.00227776592843,95.09460656059719,91.48841860361057,98.42778376076409
CHITRAL DISTRICT,Khyber Pakhtunkhwa,81.86168813698188,53.21009728903823,110.51327898492552,80.48349176028604,74.78062805519232,86.22715900388843
SHANGLA DISTRICT,Khyber Pakhtunkhwa,89.78516843343434,58.36035948173232,121.20997738513636,99.8801865217134,97.0590345278049,102.84160472747978
SWAT DISTRICT,Khyber Pakhtunkhwa,79.35186539525239,51.57871250691406,107.12501828359072,85.79208599383878,83.23807051104804,88.2526583365322
LOWER DIR DISTRICT,Khyber Pakhtunkhwa,94.52899155105275,61.4438445081843,127.61413859392124,86.98812974719509,83.12404332458335,90.66340021435717
UPPER DIR DISTRICT,Khyber Pakhtunkhwa,98.56466454960906,64.06703195724589,133.06229714197224,92.71437115242401,90.29464192166955,95.03160067639104
MALAKAND PROTECTED AREA DISTRICT,Khyber Pakhtunkhwa,79.64958955662986,51.77223321180941,107.52694590145032,80.46541749405108,77.7952914283588,83.2083442044549
KHYBER AGENCY DISTRICT,Fata,99.3386696917183,64.5701352996169,134.10720408381968,96.71223984740861,93.03311269028418,100.34181364477612
KURRAM AGENCY DISTRICT,Fata,101.84233561688086,66.19751815097257,137.48715308278915,95.76296372901015,94.02556690694747,97.45714684935454
MOHMAND AGENCY DISTRICT,Fata,108.03594545856252,70.22336454806563,145.8485263690594,106.25420952513896,102.68590946284623,109.87792040545575
NORTH WAZIRISTAN AGENCY DISTRICT,Fata,100.1706550482767,65.11092578137985,135.23038431517355,101.38584988526557,99.1595148316618,103.81165791710701
ORAKZAI AGENCY DISTRICT,Fata,107.84340623428636,70.09821405228614,145.58859841628657,97.89555772707294,94.32708552583117,100.99530522546026
BAJAUR AGENCY DISTRICT,Fata,102.15504685879368,66.40078045821588,137.90931325937146,102.3243417542688,97.98078126955542,106.52404953160688
FR BANNU DISTRICT,Fata,104.68508628190575,68.04530608323874,141.32486648057278,113.74030781685012,110.53102813751943,117.28381753051711
FR D.I.KHAN DISTRICT,Fata,107.41710219665003,69.82111642782252,145.01308796547755,115.34113276296488,112.22429747867639,118.66800520739899
FR KOHAT DISTRICT,Fata,84.01455967047649,54.60946378580972,113.41965555514324,90.3847462237794,87.94000581405362,92.87328146735082
FR LAKKI MARWAT DISTRICT,Fata,116.91777849972426,75.99655602482078,157.83900097462777,105.22933801984583,98.78584026108575,110.41430502553649
FR PESHAWAR DISTRICT,Fata,83.81743715908785,54.481334153407104,113.1535401647686,91.53547544272723,88.23074904041384,95.04482522201407
FR TANK DISTRICT,Fata,103.82435940771067,67.48583361501196,140.16288520040942,105.29059870286326,102.25798495231318,108.3569839205934
ATTOCK DISTRICT,Punjab,79.23693893631079,51.50401030860202,106.96986756401957,70.87290727280916,67.71183404520475,73.93544734850578
CHAKWAL DISTRICT,Punjab,72.16324264072416,46.90610771647071,97.42037756497764,66.10118977652422,61.786189611213246,70.75744725730071
JHELUM DISTRICT,Punjab,55.56665252553691,36.11832414159899,75.01498090947483,63.192174697181756,59.507714348761375,67.08919469623476
RAWALPINDI DISTRICT,Punjab,60.40150719584595,39.26097967729987,81.54203471439203,54.755588001018566,51.269071808450555,58.32079856734116
BHAKKAR DISTRICT,Punjab,74.83902522496176,48.64536639622514,101.03268405369838,81.8191703426151,78.22384299165732,85.51578743177893
KHUSHAB DISTRICT,Punjab,74.69666083367613,48.55282954188949,100.8404921254628,75.1633132745149,72.20525078740107,78.29619932758315
SARGODHA DISTRICT,Punjab,67.95032871648763,44.16771366571696,91.7329437672583,71.36316204649552,69.4679880196713,73.38719783803288
MIANWALI DISTRICT,Punjab,81.92283505623699,53.24984278655405,110.59582732591994,75.82510164050761,73.06300070057738,78.65897676950108
GUJRANWALA DISTRICT,Punjab,64.41715986863464,41.87115391461252,86.96316582265676,59.48636288892102,56.895187101837905,62.16690835788755
GUJRAT DISTRICT,Punjab,60.62886408062137,39.408761652403896,81.84896650883884,62.32426305579424,59.44631323507991,65.647104184105
HAFIZABAD DISTRICT,Punjab,76.01407125067223,49.40914631293696,102.61899618840752,72.97490535747829,70.9890706458365,75.1405951555562
MANDI BAHAUDDIN DISTRICT,Punjab,58.12101393432506,37.77865905731129,78.46336881133884,70.0442683771829,67.22547644787164,73.06693261103763
NAROWAL DISTRICT,Punjab,75.3350995104609,48.9678146817996,101.70238433912222,70.98663239755868,68.02345595951314,74.02702875546237
SIALKOT DISTRICT,Punjab,68.39168952995142,44.45459819446842,92.32878086543442,63.478360826170366,60.826752259581234,66.41434999667266
LAHORE DISTRICT,Punjab,39.53563593792445,25.69816335965089,53.373108516198016,48.01787305412363,43.658783366024764,52.6672657176321
KASUR DISTRICT,Punjab,71.53545519355265,46.498045875809225,96.57286451129607,76.40615198444964,74.09468165876063,78.57380733761944
NANKANA SAHIB DISTRICT,Punjab,80.01178952402378,52.00766319061546,108.0159158574321,76.50816108545773,74.03870411648624,79.08967551911631
SHEIKHUPURA DISTRICT,Punjab,56.19845664416484,36.52899681870714,75.86791646962253,69.44652791698854,67.04076127460243,71.95084547752823
FAISALABAD DISTRICT,Punjab,60.36045260384671,39.23429419250037,81.48661101519306,66.51808217081322,63.55841410304527,69.3902160141553
CHINIOT DISTRICT,Punjab,89.13923892515251,57.940505301349134,120.33797254895588,80.23617879404404,78.24583330878191,82.19917676086784
JHANG DISTRICT,Punjab,56.61591217350549,36.800342912778575,76.43148143423241,79.1409780095668,77.37421085587275,81.01916249885849
TOBA TEK SINGH DISTRICT,Punjab,67.76479792277132,44.04711864980136,91.48247719574128,71.70375736249788,69.39058482289978,74.21483090674697
SAHIWAL DISTRICT,Punjab,68.38046553568995,44.44730259819847,92.31362847318144,74.55425047052192,72.16034636000764,77.00588845874694
OKARA DISTRICT,Punjab,76.14631225118025,49.49510296326716,102.79752153909334,76.59290626047778,75.03573633580348,78.21931272531504
PAKPATTAN DISTRICT,Punjab,88.13777991356234,57.289556943815526,118.98600288330915,80.95001337517937,78.64913970407395,83.3762183488771
BAHAWALNAGAR DISTRICT,Punjab,78.1180710194164,50.77674616262067,105.45939587621214,81.23720343674583,79.32651566610375,83.16736936211294
BAHAWALPUR DISTRICT,Punjab,86.86352236766277,56.4612895389808,117.26575519634474,82.05865219233013,78.89941320790756,85.01344228393803
RAHIM YAR KHAN DISTRICT,Punjab,91.49430296641948,59.471296928172656,123.51730900466627,85.80371937243835,83.39492274938384,87.96848407861536
DERA GHAZI KHAN DISTRICT,Punjab,96.04208312087589,62.42735402856932,129.65681221318243,91.10494670157574,88.77081535671304,93.54937073833199
RAJANPUR DISTRICT,Punjab,102.13339281195448,66.38670532777041,137.88008029613854,99.85111707870136,96.4643606554156,103.09640045904388
LAYYAH DISTRICT,Punjab,90.07745387203052,58.55034501681984,121.6045627272412,80.43223704255333,78.10517926265022,82.83341298363466
MUZAFFARGARH DISTRICT,Punjab,82.28652364125335,53.48624036681469,111.08680691569202,86.78329645019043,84.69096994104308,88.90519322722416
